pos_element	neg_element	POS	pos_key	neg_key	pos_definition	neg_definition	reversed_ann1	affixal/non-affixal_ann1	negative affix_ann1	positive affix_ann1	direct/indirect_ann1	subtype_ann1	reversed_ann2	affixal/non-affixal_ann2	negative affix_ann2	positive affix_ann2	direct/indirect_ann2	subtype_ann2
interested	uninterested	a	interested%3:00:00::	uninterested%3:00:00::	having or showing interest; especially curiosity or fascination or concern	not having or showing interest	_	_	_	_	_	_	no	affixal	un-	_	direct	_
interesting	uninteresting	a	interesting%3:00:00::	uninteresting%3:00:00::	arousing or holding the attention	arousing no interest or attention or curiosity or excitement	_	_	_	_	_	_	no	affixal	un-	_	direct	_
intermediate	terminal	a	intermediate%3:00:00::	terminal%3:00:00::	lying between two extremes in time or space or state	being or situated at an end	no	non-affixal	_	_	_	_	_	_	_	_	_	_
interspecies	intraspecies	a	interspecies%3:00:00::	intraspecies%3:00:00::	arising or occurring between species	arising or occurring within a species; involving the members of one species	no	non-affixal	_	_	_	_	_	_	_	_	_	_
interstate	intrastate	a	interstate%3:00:00::	intrastate%3:00:00::	involving and relating to the mutual relations of states especially of the United States	relating to or existing within the boundaries of a state	no	non-affixal	_	_	_	_	_	_	_	_	_	_
intoxicated	sober	a	intoxicated%3:00:00::	sober%3:00:01::	stupefied or excited by a chemical substance (especially alcohol)	not affected by a chemical substance (especially alcohol)	no	non-affixal	_	_	_	_	_	_	_	_	_	_
intra_vires	ultra_vires	a	intra_vires%3:00:00::	ultra_vires%3:00:00::	within the legal power or authority or a person or official or body etc	beyond the legal power or authority of a person or official or body etc	no	non-affixal	_	_	_	_	_	_	_	_	_	_
intramural	extramural	a	intramural%3:00:00::	extramural%3:00:00::	carried on within the bounds of an institution or community	carried on outside the bounds of an institution or community	no	non-affixal	_	_	_	_	_	_	_	_	_	_
intrinsic	extrinsic	a	intrinsic%3:00:00::	extrinsic%3:00:00::	belonging to a thing by its very nature	not forming an essential part of a thing or arising or originating from the outside	no	non-affixal	_	_	_	_	_	_	_	_	_	_
introspective	extrospective	a	introspective%3:00:00::	extrospective%3:00:00::	given to examining own sensory and perceptual experiences	not introspective; examining what is outside yourself	_	_	_	_	_	_	no	non-affixal	_	_	_	_
introversive	ambiversive	a	introversive%3:00:00::	ambiversive%3:00:00::	directed inward; marked by interest in yourself or concerned with inner feelings	intermediate between introversive and extroversive	no	non-affixal	_	_	_	_	no	non-affixal	_	_	_	_
introversive	extroversive	a	introversive%3:00:00::	extroversive%3:00:00::	directed inward; marked by interest in yourself or concerned with inner feelings	directed outward; marked by interest in others or concerned with external reality	no	non-affixal	_	_	_	_	_	_	_	_	_	_
intrusive	extrusive	a	intrusive%3:00:03::	extrusive%3:00:00::	of rock material; forced while molten into cracks between layers of other rock	of rock material; forced out while molten through cracks in the earth's surface	no	affixal	out-	in-	indirect	ROD	no	non-affixal	_	_	_	_
intrusive	protrusive	a	intrusive%3:00:02::	protrusive%3:00:00::	thrusting inward	thrusting outward	_	_	_	_	_	_	no	non-affixal	_	_	_	_
intrusive	unintrusive	a	intrusive%3:00:01::	unintrusive%3:00:00::	tending to intrude (especially upon privacy)	not interfering or meddling	no	affixal	un-	_	direct	_	_	_	_	_	_	_
invasive	confined	a	invasive%3:00:00::	confined%3:00:01::	marked by a tendency to spread especially into healthy tissue	not invading healthy tissue	no	non-affixal	_	_	_	_	no	non-affixal	_	_	_	_
invasive	noninvasive	a	invasive%3:00:01::	noninvasive%3:00:00::	relating to a technique in which the body is entered by puncture or incision	relating to a technique that does not involve puncturing the skin or entering a body cavity	no	affixal	non-	_	direct	_	_	_	_	_	_	_
invertible	non-invertible	a	invertible%3:00:00::	non-invertible%3:00:00::	having an additive or multiplicative inverse	not admitting an additive or multiplicative inverse	_	_	_	_	_	_	no	affixal	non-	_	indirect	OPP
invigorating	debilitating	a	invigorating%3:00:00::	debilitating%3:00:00::	imparting strength and vitality	impairing the strength and vitality	no	affixal	de-	in-	indirect	RED	_	_	_	_	_	_
inviting	uninviting	a	inviting%3:00:00::	uninviting%3:00:00::	attractive and tempting	neither attractive nor tempting	_	_	_	_	_	_	no	affixal	un-	_	direct	_
involved	uninvolved	a	involved%3:00:00::	uninvolved%3:00:00::	connected by participation or association or use	not involved	no	affixal	un-	_	direct	_	_	_	_	_	_	_
inward	outward	a	inward%3:00:00::	outward%3:00:00::	relating to or existing in the mind or thoughts	relating to physical reality rather than with thoughts or the mind	no	non-affixal	_	_	_	_	no	affixal	out-	_	indirect	ROD
iodinating	de-iodinating	a	iodinating%3:00:00::	de-iodinating%3:00:00::	combining or causing to combine with iodine	removing iodine from	_	_	_	_	_	_	no	affixal	de-	_	indirect	ROA
ionic	nonionic	a	ionic%3:01:00::	nonionic%3:01:00::	containing or involving or occurring in the form of ions	not ionic	no	affixal	non-	_	direct	_	no	affixal	non-	_	indirect	OPP
ionized	nonionized	a	ionized%3:00:00::	nonionized%3:00:00::	converted totally or partly into ions	not converted into ions	no	affixal	non-	_	direct	_	_	_	_	_	_	_
ipsilateral	contralateral	a	ipsilateral%3:00:00::	contralateral%3:00:00::	on or relating to the same side (of the body)	on or relating to the opposite side (of the body)	no	affixal	contra-	_	indirect	OPP	_	_	_	_	_	_
ironed	unironed	a	ironed%3:00:00::	unironed%3:00:00::	(of linens or clothes) smoothed with a hot iron	(of linens or clothes) not ironed	_	_	_	_	_	_	no	affixal	un-	_	direct	_
isometric	isotonic	a	isometric%3:00:00::	isotonic%3:00:01::	of or involving muscular contraction in which tension increases while length remains constant	of or involving muscular contraction in which tension is constant while length changes	no	non-affixal	_	_	_	_	no	non-affixal	_	_	_	_
isotonic	hypertonic	a	isotonic%3:00:00::	hypertonic%3:00:00::	(used of solutions) having the same or equal osmotic pressure	(of a solution) having a higher osmotic pressure than a comparison solution	no	affixal	hyper-	_	indirect	OVA	_	_	_	_	_	_
isotonic	hypotonic	a	isotonic%3:00:00::	hypotonic%3:00:00::	(used of solutions) having the same or equal osmotic pressure	(of a solution) having a lower osmotic pressure than a comparison solution	_	_	_	_	_	_	no	non-affixal	_	_	_	_
isotropic	anisotropic	a	isotropic%3:00:00::	anisotropic%3:00:00::	invariant with respect to direction	not invariant with respect to direction	no	affixal	an-	_	direct	_	_	_	_	_	_	_
jawed	jawless	a	jawed%3:00:00::	jawless%3:00:00::	of animals having jaws of a specified type	of animals having no jaw	no	affixal	-less	-ed	indirect	LAC	no	affixal	-less	_	indirect	LAC
joyful	sorrowful	a	joyful%3:00:00::	sorrowful%3:00:00::	full of or producing joy	experiencing or marked by or expressing sorrow especially that associated with irreparable loss	_	_	_	_	_	_	no	non-affixal	_	_	_	_
joyous	joyless	a	joyous%3:00:00::	joyless%3:00:00::	full of or characterized by joy	not experiencing or inspiring joy	no	affixal	-less	-ous	indirect	LAC	_	_	_	_	_	_
judgmental	nonjudgmental	a	judgmental%3:00:00::	nonjudgmental%3:00:00::	depending on judgment	refraining from making judgments especially ones based on personal opinions or standards	_	_	_	_	_	_	no	affixal	non-	_	indirect	OPP
juicy	juiceless	a	juicy%3:00:00::	juiceless%3:00:00::	full of juice	lacking juice	_	_	_	_	_	_	no	affixal	-less	_	indirect	LAC
just	unjust	a	just%3:00:00::	unjust%3:00:00::	used especially of what is legally or ethically right or proper or fitting	violating principles of justice	no	affixal	un-	_	direct	_	_	_	_	_	_	_
keyed	keyless	a	keyed%3:00:00::	keyless%3:00:00::	fitted with or secured by a key	lacking or not requiring a key	no	affixal	-less	-ed	indirect	LAC	_	_	_	_	_	_
kind	unkind	a	kind%3:00:00::	unkind%3:00:00::	having or showing a tender and considerate and helpful nature; used especially of persons and their behavior	lacking kindness	no	affixal	un-	_	direct	_	_	_	_	_	_	_
knowable	unknowable	a	knowable%3:00:00::	unknowable%3:00:00::	capable of being known	not knowable	no	affixal	un-	_	direct	_	_	_	_	_	_	_
known	unknown	a	known%3:00:00::	unknown%3:00:00::	apprehended with certainty	not known	_	_	_	_	_	_	no	affixal	un-	_	direct	_
labeled	unlabeled	a	labeled%3:00:00::	unlabeled%3:00:00::	bearing or marked with a label or tag	lacking a label or tag	no	affixal	un-	_	direct	_	_	_	_	_	_	_
laced	unlaced	a	laced%3:00:00::	unlaced%3:00:00::	closed with a lace	with laces not tied	_	_	_	_	_	_	no	affixal	un-	_	direct	_
lamented	unlamented	a	lamented%3:00:00::	unlamented%3:00:00::	mourned or grieved for	not grieved for; causing no mourning	_	_	_	_	_	_	no	affixal	un-	_	direct	_
landed	landless	a	landed%3:00:00::	landless%3:00:00::	owning or consisting of land or real estate	owning no land	no	affixal	-less	-ed	indirect	LAC	no	affixal	-less	_	indirect	LAC
large	small	a	large%3:00:00::	small%3:00:00::	above average in size or number or quantity or magnitude or extent	limited or below average in number or quantity or magnitude or extent	_	_	_	_	_	_	no	non-affixal	_	_	_	_
laureled	unlaureled	a	laureled%3:00:00::	unlaureled%3:00:00::	crowned with or as if with laurel symbolizing victory	not crowned with laurel; having no acclaim or reward	no	affixal	un-	_	direct	_	_	_	_	_	_	_
lawful	unlawful	a	lawful%3:00:00::	unlawful%3:00:00::	conformable to or allowed by law	contrary to or prohibited by or defiant of law	_	_	_	_	_	_	no	affixal	un-	_	direct	_
leaded	unleaded	a	leaded%3:00:00::	unleaded%3:00:00::	treated or mixed with lead	not treated with lead	no	affixal	un-	_	direct	_	_	_	_	_	_	_
leading	following	a	leading%3:00:00::	following%3:00:00::	going or proceeding or going in advance; showing the way	going or proceeding or coming after in the same direction	_	_	_	_	_	_	no	non-affixal	_	_	_	_
leafy	leafless	a	leafy%3:00:00::	leafless%3:00:00::	having or covered with leaves	having no leaves	_	_	_	_	_	_	no	non-affixal	_	_	_	_
leaky	tight	a	leaky%3:00:00::	tight%3:00:02::	permitting the unwanted passage of fluids or gases	of such close construction as to be impermeable	_	_	_	_	_	_	no	non-affixal	_	_	_	_
leavened	unleavened	a	leavened%3:00:00::	unleavened%3:00:00::	made light by aerating, as with yeast or baking powder; often used as a combining form	made without leavening	_	_	_	_	_	_	no	affixal	un-	_	direct	_
left	center	a	left%3:00:02::	center%3:00:00::	of or belonging to the political or intellectual left	of or belonging to neither the right nor the left politically or intellectually	no	non-affixal	_	_	_	_	_	_	_	_	_	_
left-handed	ambidextrous	a	left-handed%3:00:00::	ambidextrous%3:00:00::	using or intended for the left hand	equally skillful with each hand	_	_	_	_	_	_	no	non-affixal	_	_	_	_
legal	illegal	a	legal%3:00:00::	illegal%3:00:00::	established by or founded upon law or official or accepted rules	prohibited by law or by official or accepted rules	no	affixal	il-	_	direct	_	no	affixal	il-	_	direct	_
legato	staccato	a	legato%3:00:00::	staccato%3:00:00::	(music) without breaks between notes; smooth and connected	(music) marked by or composed of disconnected parts or sounds; cut short crisply	no	non-affixal	_	_	_	_	_	_	_	_	_	_
legged	legless	a	legged%3:00:00::	legless%3:00:00::	having legs of a specified kind or number	not having legs	no	affixal	-less	-ed	indirect	LAC	_	_	_	_	_	_
legible	illegible	a	legible%3:00:00::	illegible%3:00:00::	(of handwriting, print, etc.) capable of being read or deciphered	(of handwriting, print, etc.) not legible	no	affixal	il-	_	direct	_	_	_	_	_	_	_
legitimate	illegitimate	a	legitimate%3:00:00::	illegitimate%3:00:00::	of marriages and offspring; recognized as lawful	of marriages and offspring; not recognized as lawful	no	affixal	il-	_	direct	_	_	_	_	_	_	_
lengthwise	crosswise	a	lengthwise%3:00:00::	crosswise%3:00:00::	running or extending in the direction of the length of a thing	lying or extending across the length of a thing or in a cross direction	no	non-affixal	_	_	_	_	_	_	_	_	_	_
leptorrhine	catarrhine	a	leptorrhine%3:00:00::	catarrhine%3:00:00::	having a long narrow nose	of or related to Old World monkeys that have nostrils together and opening downward	_	_	_	_	_	_	no	non-affixal	_	_	_	_
leptorrhine	platyrrhine	a	leptorrhine%3:00:00::	platyrrhine%3:00:00::	having a long narrow nose	of or related to New World monkeys having nostrils far apart or to people with broad noses	_	_	_	_	_	_	no	non-affixal	_	_	_	_
leptosporangiate	eusporangiate	a	leptosporangiate%3:00:00::	eusporangiate%3:00:00::	(of ferns) having each sporangium formed from a single epidermal cell	(of ferns) having sporangia that arise from a group of epidermal cells	no	non-affixal	_	_	_	_	_	_	_	_	_	_
licit	illicit	a	licit%3:00:00::	illicit%3:00:00::	sanctioned by custom or morality especially sexual morality	contrary to accepted morality (especially sexual morality) or convention	no	affixal	il-	_	direct	_	no	affixal	il-	_	direct	_
lidded	lidless	a	lidded%3:00:00::	lidless%3:00:00::	having or covered with a lid or lids; often used in combination	not having or covered with a lid or lids	no	affixal	-less	-ed	indirect	LAC	_	_	_	_	_	_
light-duty	heavy-duty	a	light-duty%3:00:00::	heavy-duty%3:00:00::	not designed for heavy work	designed for heavy work	_	_	_	_	_	_	no	non-affixal	_	_	_	_
light-footed	heavy-footed	a	light-footed%3:00:00::	heavy-footed%3:00:00::	(of movement) having a light and springy step	(of movement) lacking ease or lightness	_	_	_	_	_	_	no	non-affixal	_	_	_	_
lighted	unlighted	a	lighted%3:00:00::	unlighted%3:00:00::	set afire or burning	not set afire or burning	no	affixal	un-	_	direct	_	_	_	_	_	_	_
like	unlike	a	like%3:00:02::	unlike%3:00:02::	equal in amount or value	not equal in amount	no	affixal	un-	_	direct	_	_	_	_	_	_	_
liked	disliked	a	liked%3:00:00::	disliked%3:00:00::	found pleasant or attractive; often used as a combining form	regarded with aversion	_	_	_	_	_	_	no	affixal	dis-	_	direct	_
likely	unlikely	a	likely%3:00:00::	unlikely%3:00:00::	has a good chance of being the case or of coming about	has little chance of being the case or coming about	_	_	_	_	_	_	no	affixal	un-	_	direct	_
limbed	limbless	a	limbed%3:00:00::	limbless%3:00:00::	having or as if having limbs, especially limbs of a specified kind (usually used in combination)	having no limbs	no	affixal	-less	-ed	indirect	LAC	_	_	_	_	_	_
limited	unlimited	a	limited%3:00:00::	unlimited%3:00:00::	small in range or scope	having no limits in range or scope	no	affixal	un-	_	direct	_	_	_	_	_	_	_
lineal	collateral	a	lineal%3:00:00::	collateral%3:00:00::	in a straight unbroken line of descent from parent to child	descended from a common ancestor but through different lines	no	non-affixal	_	_	_	_	_	_	_	_	_	_
linear	nonlinear	a	linear%3:00:02::	nonlinear%3:00:00::	designating or involving an equation whose terms are of the first degree	designating or involving an equation whose terms are not of the first degree	_	_	_	_	_	_	no	affixal	non-	_	indirect	OPP
linear	planar	a	linear%3:00:01::	planar%3:00:00::	of or in or along or relating to a line; involving a single dimension	involving two dimensions	_	_	_	_	_	_	no	non-affixal	_	_	_	_
lined	unlined	a	lined%3:00:00::	unlined%3:00:00::	having a lining or a liner; often used in combination	not having a lining or liner	no	affixal	un-	_	direct	_	_	_	_	_	_	_
linguistic	nonlinguistic	a	linguistic%3:01:00::	nonlinguistic%3:01:00::	consisting of or related to language	not consisting of or related to language	no	affixal	non-	_	direct	_	_	_	_	_	_	_
lipped	lipless	a	lipped%3:00:00::	lipless%3:00:00::	having a lip or lips	without a lip or lips	no	affixal	-less	-ed	indirect	LAC	_	_	_	_	_	_
